Mot,Ligne,Colonne,Page,identifiant,
,,,page_suivante@c_verbes,c_verbes_-_2,
CLASSER,1,1,c_verbes_-_2,classer@c_verbes_-_2,
COMMENCER,2,1,c_verbes_-_2,commencer@c_verbes_-_2,
CONCEVOIR,3,1,c_verbes_-_2,concevoir@c_verbes_-_2,
CONVERSER,4,1,c_verbes_-_2,converser@c_verbes_-_2,
CLIGNER,1,2,c_verbes_-_2,cligner@c_verbes_-_2,
COMMUNIQUER,2,2,c_verbes_-_2,communiquer@c_verbes_-_2,
CONDUIRE,3,2,c_verbes_-_2,conduire@c_verbes_-_2,
COPIER,4,2,c_verbes_-_2,copier@c_verbes_-_2,
CLIQUER,1,3,c_verbes_-_2,cliquer@c_verbes_-_2,
COMPARER,2,3,c_verbes_-_2,comparer@c_verbes_-_2,
CONNECTER,3,3,c_verbes_-_2,connecter@c_verbes_-_2,
COUCHER,4,3,c_verbes_-_2,coucher@c_verbes_-_2,
CLOUER,1,4,c_verbes_-_2,clouer@c_verbes_-_2,
COMPLIMENTER,2,4,c_verbes_-_2,complimenter@c_verbes_-_2,
CONSTRUIRE,3,4,c_verbes_-_2,construire@c_verbes_-_2,
COUDRE,4,4,c_verbes_-_2,coudre@c_verbes_-_2,
COGNER,1,5,c_verbes_-_2,cogner@c_verbes_-_2,
COMPOSER,2,5,c_verbes_-_2,composer@c_verbes_-_2,
CONTENIR,3,5,c_verbes_-_2,contenir@c_verbes_-_2,
COUINER,4,5,c_verbes_-_2,couiner@c_verbes_-_2,
COLLER,1,6,c_verbes_-_2,coller@c_verbes_-_2,
COMPRENDRE,2,6,c_verbes_-_2,comprendre@c_verbes_-_2,
CONTINUER,3,6,c_verbes_-_2,continuer@c_verbes_-_2,
COULER,4,6,c_verbes_-_2,couler@c_verbes_-_2,
COLORIER,1,7,c_verbes_-_2,colorier@c_verbes_-_2,
COMPTER,2,7,c_verbes_-_2,compter@c_verbes_-_2,
CONTRASTER,3,7,c_verbes_-_2,contraster@c_verbes_-_2,
PAGE PRÉCÉDENTE,4,7,c_verbes_-_2,page_précédente@c_verbes_-_2,
,,,page_précédente@c_verbes_-_2,c_verbes,
COMMANDER,1,8,c_verbes_-_2,commander@c_verbes_-_2,
